policy_key,policy_id,policy_date_key,customer_key,product_key,agent_key,branch_key,policy_type,sum_insured,gross_written_premium,policy_start_date,policy_end_date,is_renewal,is_cancelled
68,POL000068,20240401,2788,9,37,3,Renewal,56946.28,3628.34,2024-04-01,2025-04-01,True,False
69,POL000069,20230714,811,4,10,4,New Business,239476.06,17578.86,2023-07-14,2024-07-13,False,False
70,POL000070,20240821,535,8,32,1,New Business,70040.75,3648.67,2024-08-21,2025-08-21,False,False
71,POL000071,20241125,2573,4,3,2,Renewal,217004.01,12440.36,2024-11-25,2025-11-25,True,False
72,POL000072,20230326,36,1,4,5,New Business,42831.53,4717.46,2023-03-26,2024-03-25,False,False
73,POL000073,20241009,1462,9,13,3,Renewal,324440.06,16641.81,2024-10-09,2025-10-09,True,False
74,POL000074,20230707,271,2,24,1,Renewal,7314.27,620.59,2023-07-07,2024-07-06,True,False
75,POL000075,20250428,1830,8,31,3,New Business,100211.38,9919.35,2025-04-28,2026-04-28,False,False
76,POL000076,20230601,2302,2,11,1,Cancellation,19938.32,624.26,2023-06-01,2024-05-31,False,True
77,POL000077,20241017,2533,3,27,1,New Business,37675.36,2575.59,2024-10-17,2025-10-17,False,False
78,POL000078,20250628,1152,3,16,4,Cancellation,45361.74,492.42,2025-06-28,2026-06-28,False,True
79,POL000079,20260128,162,3,9,5,Renewal,162258.27,11866.4,2026-01-28,2027-01-28,True,False
80,POL000080,20240104,82,3,38,1,Renewal,211291.06,11860.01,2024-01-04,2025-01-03,True,False
81,POL000081,20250520,2396,9,37,3,New Business,338541.78,18076.91,2025-05-20,2026-05-20,False,False
82,POL000082,20250206,2752,9,37,3,New Business,54591.78,4520.19,2025-02-06,2026-02-06,False,False
83,POL000083,20240802,1516,1,5,4,New Business,90998.37,5875.27,2024-08-02,2025-08-02,False,False
84,POL000084,20260104,613,6,8,5,Cancellation,197183.8,4897.6,2026-01-04,2027-01-04,False,True
85,POL000085,20231107,1314,9,19,5,Renewal,348042.18,17954.07,2023-11-07,2024-11-06,True,False
86,POL000086,20230209,2470,1,32,1,New Business,91762.96,4909.06,2023-02-09,2024-02-09,False,False
87,POL000087,20240526,693,2,24,1,Renewal,11683.3,1133.83,2024-05-26,2025-05-26,True,False
88,POL000088,20250315,2132,2,2,3,Renewal,21266.64,1127.02,2025-03-15,2026-03-15,True,False
89,POL000089,20260813,979,1,20,4,New Business,41564.06,2083.01,2026-08-13,2027-08-13,False,False
90,POL000090,20240117,1118,2,30,3,Renewal,10903.12,908.97,2024-01-17,2025-01-16,True,False
91,POL000091,20220626,2557,1,1,1,Renewal,15137.13,1839.14,2022-06-26,2023-06-26,True,False
92,POL000092,20250312,1926,2,25,2,New Business,14476.87,885.79,2025-03-12,2026-03-12,False,False
93,POL000093,20251103,1537,1,22,5,New Business,50243.87,3550.55,2025-11-03,2026-11-03,False,False
94,POL000094,20250703,1739,9,27,1,Renewal,286771.75,29909.19,2025-07-03,2026-07-03,True,False
95,POL000095,20250816,1072,2,36,5,New Business,9620.39,845.4,2025-08-16,2026-08-16,False,False
96,POL000096,20260524,1843,1,6,1,Renewal,116338.42,6135.96,2026-05-24,2027-05-24,True,False
97,POL000097,20250105,465,8,2,3,Renewal,209586.65,11857.99,2025-01-05,2026-01-05,True,False
98,POL000098,20240106,305,1,12,2,New Business,79522.21,8074.9,2024-01-06,2025-01-05,False,False
99,POL000099,20250219,358,8,5,4,New Business,33779.16,4138.91,2025-02-19,2026-02-19,False,False
100,POL000100,20260727,2530,8,5,4,New Business,212184.42,13677.39,2026-07-27,2027-07-27,False,False
101,POL000101,20240815,1888,8,22,5,Renewal,90705.03,9784.8,2024-08-15,2025-08-15,True,False
102,POL000102,20250106,2885,1,9,5,New Business,83806.35,4943.52,2025-01-06,2026-01-06,False,False
103,POL000103,20260809,376,1,6,1,New Business,57766.15,3301.09,2026-08-09,2027-08-09,False,False
104,POL000104,20260110,205,1,6,1,New Business,127546.2,8225.91,2026-01-10,2027-01-10,False,False
105,POL000105,20260223,809,1,32,1,Renewal,18485.62,1806.51,2026-02-23,2027-02-23,True,False
106,POL000106,20260111,2770,2,38,1,Renewal,7243.31,829.21,2026-01-11,2027-01-11,True,False
107,POL000107,20250207,26,1,6,1,New Business,69268.12,6677.96,2025-02-07,2026-02-07,False,False
108,POL000108,20230317,2221,1,37,3,Cancellation,132046.99,3634.87,2023-03-17,2024-03-16,False,True
109,POL000109,20251011,767,1,21,3,Renewal,76329.62,7111.95,2025-10-11,2026-10-11,True,False
110,POL000110,20250519,2427,2,19,5,Renewal,24987.23,1774.68,2025-05-19,2026-05-19,True,False
111,POL000111,20220804,1748,2,17,3,Renewal,18165.12,1079.63,2022-08-04,2023-08-04,True,False
112,POL000112,20240908,2683,3,17,3,New Business,30518.06,3071.72,2024-09-08,2025-09-08,False,False
113,POL000113,20260708,2024,1,23,3,Cancellation,37775.36,2068.81,2026-07-08,2027-07-08,False,True
114,POL000114,20260209,2761,3,29,3,New Business,54139.62,3197.62,2026-02-09,2027-02-09,False,False
115,POL000115,20221211,2410,1,24,1,Renewal,79968.62,5238.32,2022-12-11,2023-12-11,True,False
116,POL000116,20230820,2332,9,17,3,Renewal,173348.34,14654.81,2023-08-20,2024-08-19,True,False
117,POL000117,20260322,1968,2,24,1,Renewal,28907.28,1684.48,2026-03-22,2027-03-22,True,False
118,POL000118,20230607,780,2,15,3,Renewal,6753.65,793.39,2023-06-07,2024-06-06,True,False
119,POL000119,20250919,1905,2,30,3,New Business,20042.22,1141.68,2025-09-19,2026-09-19,False,False
120,POL000120,20231009,1652,9,30,3,Renewal,186517.55,13742.1,2023-10-09,2024-10-08,True,False
121,POL000121,20230816,1580,1,27,1,Cancellation,156534.4,4185.46,2023-08-16,2024-08-15,False,True
122,POL000122,20241122,2590,2,10,4,New Business,7802.97,955.38,2024-11-22,2025-11-22,False,False
123,POL000123,20260511,2711,8,12,2,New Business,53891.92,2784.75,2026-05-11,2027-05-11,False,False
124,POL000124,20220925,68,1,26,1,Renewal,57474.67,5108.55,2022-09-25,2023-09-25,True,False
125,POL000125,20240404,2038,1,26,1,New Business,35471.31,1975.31,2024-04-04,2025-04-04,False,False
126,POL000126,20230805,1138,8,15,3,New Business,143952.59,9419.81,2023-08-05,2024-08-04,False,False
127,POL000127,20221022,1783,3,11,1,Renewal,164790.52,10306.19,2022-10-22,2023-10-22,True,False
128,POL000128,20241224,435,2,5,4,Cancellation,33078.5,811.1,2024-12-24,2025-12-24,False,True
129,POL000129,20250622,2125,1,32,1,Renewal,39146.99,3012.2,2025-06-22,2026-06-22,True,False
130,POL000130,20250111,1262,1,11,1,New Business,63597.26,5422.99,2025-01-11,2026-01-11,False,False
131,POL000131,20251019,2506,4,8,5,Renewal,197859.49,13782.7,2025-10-19,2026-10-19,True,False
132,POL000132,20240407,1530,2,9,5,New Business,32075.65,1632.75,2024-04-07,2025-04-07,False,False
133,POL000133,20240508,1832,1,24,1,New Business,65265.64,6207.81,2024-05-08,2025-05-08,False,False
134,POL000134,20240727,957,2,21,3,Renewal,30370.93,1613.58,2024-07-27,2025-07-27,True,False
135,POL000135,20241028,1150,3,36,5,New Business,78601.36,4484.89,2024-10-28,2025-10-28,False,False
136,POL000136,20250711,521,6,21,3,Renewal,496367.39,33386.52,2025-07-11,2026-07-11,True,False
137,POL000137,20251028,2901,9,38,1,Renewal,163209.41,9189.79,2025-10-28,2026-10-28,True,False
138,POL000138,20240924,2308,1,31,3,Renewal,65516.73,5570.43,2024-09-24,2025-09-24,True,False
139,POL000139,20251023,1574,8,10,4,Renewal,83032.42,9250.81,2025-10-23,2026-10-23,True,False
140,POL000140,20260803,2469,3,18,1,New Business,99654.01,7862.3,2026-08-03,2027-08-03,False,False
141,POL000141,20260112,1132,1,10,4,New Business,147173.54,8490.89,2026-01-12,2027-01-12,False,False
142,POL000142,20250706,915,3,1,1,New Business,63097.58,3525.39,2025-07-06,2026-07-06,False,False
143,POL000143,20250102,599,3,18,1,Cancellation,156728.37,2916.28,2025-01-02,2026-01-02,False,True
144,POL000144,20240121,820,8,13,3,Cancellation,193837.27,2046.6,2024-01-21,2025-01-20,False,True
145,POL000145,20231129,799,6,34,2,Renewal,57245.55,5026.18,2023-11-29,2024-11-28,True,False
146,POL000146,20260122,1733,8,1,1,New Business,69965.82,6694.73,2026-01-22,2027-01-22,False,False
147,POL000147,20250610,119,2,27,1,New Business,27175.52,2001.25,2025-06-10,2026-06-10,False,False
148,POL000148,20230805,605,8,29,3,Renewal,53288.02,3634.14,2023-08-05,2024-08-04,True,False
149,POL000149,20230416,1287,4,7,5,Cancellation,246131.1,3633.88,2023-04-16,2024-04-15,False,True
150,POL000150,20251014,1167,4,11,1,Renewal,200756.02,16907.7,2025-10-14,2026-10-14,True,False
151,POL000151,20241223,215,1,21,3,Renewal,37756.61,3038.55,2024-12-23,2025-12-23,True,False
152,POL000152,20260704,2952,2,25,2,Renewal,22717.59,1461.25,2026-07-04,2027-07-04,True,False
153,POL000153,20220204,1621,5,12,2,New Business,928358.98,51481.46,2022-02-04,2023-02-04,False,False
154,POL000154,20250604,1159,1,21,3,Renewal,52331.66,3530.59,2025-06-04,2026-06-04,True,False
155,POL000155,20220815,229,8,9,5,Renewal,211895.14,11080.42,2022-08-15,2023-08-15,True,False
156,POL000156,20241030,419,1,34,2,New Business,108329.99,6539.2,2024-10-30,2025-10-30,False,False
157,POL000157,20231202,1476,1,23,3,New Business,29087.06,2245.81,2023-12-02,2024-12-01,False,False
158,POL000158,20260318,2018,7,26,1,Renewal,497345.41,34788.76,2026-03-18,2027-03-18,True,False
159,POL000159,20230331,1622,5,10,4,Renewal,163829.46,18055.45,2023-03-31,2024-03-30,True,False
160,POL000160,20220503,652,1,8,5,Renewal,74868.24,4063.63,2022-05-03,2023-05-03,True,False
161,POL000161,20260113,232,1,36,5,New Business,97135.25,6181.12,2026-01-13,2027-01-13,False,False
162,POL000162,20260816,1961,6,3,2,New Business,651475.23,38092.77,2026-08-16,2027-08-16,False,False
163,POL000163,20231227,564,9,33,2,New Business,343492.54,27152.91,2023-12-27,2024-12-26,False,False
164,POL000164,20230522,1622,5,2,3,Renewal,1632805.09,142284.04,2023-05-22,2024-05-21,True,False
165,POL000165,20221128,2928,1,27,1,Renewal,75341.87,8883.02,2022-11-28,2023-11-28,True,False
166,POL000166,20230621,856,4,15,3,Renewal,188286.44,23285.98,2023-06-21,2024-06-20,True,False
167,POL000167,20260115,2383,6,24,1,Renewal,486448.5,27102.55,2026-01-15,2027-01-15,True,False
168,POL000168,20231208,624,2,35,4,New Business,35879.91,2310.04,2023-12-08,2024-12-07,False,False
169,POL000169,20240305,1089,5,36,5,New Business,711705.4,56212.25,2024-03-05,2025-03-05,False,False
170,POL000170,20231221,2489,8,17,3,New Business,22038.39,1848.13,2023-12-21,2024-12-20,False,False
171,POL000171,20251219,489,1,19,5,Renewal,44578.98,3340.12,2025-12-19,2026-12-19,True,False
172,POL000172,20240424,2752,9,33,2,Renewal,115238.93,11022.29,2024-04-24,2025-04-24,True,False
173,POL000173,20250219,1588,1,7,5,Renewal,64107.27,3466.98,2025-02-19,2026-02-19,True,False
174,POL000174,20250609,2336,1,20,4,Renewal,64471.8,4006.83,2025-06-09,2026-06-09,True,False
175,POL000175,20240506,1243,8,24,1,Renewal,113582.3,7200.62,2024-05-06,2025-05-06,True,False
176,POL000176,20250728,1034,1,14,2,Renewal,41497.39,3541.09,2025-07-28,2026-07-28,True,False
177,POL000177,20251222,742,1,22,5,New Business,48909.96,2526.14,2025-12-22,2026-12-22,False,False
178,POL000178,20260224,1341,2,30,3,Cancellation,34379.86,412.49,2026-02-24,2027-02-24,False,True
179,POL000179,20240221,2298,3,39,1,New Business,208174.91,10491.96,2024-02-21,2025-02-20,False,False
180,POL000180,20250906,1018,8,5,4,Renewal,32462.66,1744.09,2025-09-06,2026-09-06,True,False
181,POL000181,20250121,2537,8,4,5,Renewal,267841.2,13833.74,2025-01-21,2026-01-21,True,False
182,POL000182,20250625,1243,9,29,3,New Business,234169.84,15803.78,2025-06-25,2026-06-25,False,False
183,POL000183,20241206,220,1,24,1,New Business,18290.07,1777.56,2024-12-06,2025-12-06,False,False
184,POL000184,20230105,1528,3,5,4,New Business,142003.65,8962.89,2023-01-05,2024-01-05,False,False
185,POL000185,20260413,144,2,8,5,New Business,18123.48,1625.03,2026-04-13,2027-04-13,False,False
186,POL000186,20230430,839,9,8,5,Cancellation,332329.4,8654.4,2023-04-30,2024-04-29,False,True
187,POL000187,20231216,1952,1,12,2,New Business,81158.37,8984.51,2023-12-16,2024-12-15,False,False
188,POL000188,20260301,2375,1,36,5,New Business,51330.41,6206.29,2026-03-01,2027-03-01,False,False
189,POL000189,20230325,260,4,10,4,New Business,124838.21,9775.54,2023-03-25,2024-03-24,False,False
190,POL000190,20250813,153,2,32,1,Renewal,14184.27,1043.85,2025-08-13,2026-08-13,True,False
191,POL000191,20240827,55,1,37,3,Renewal,49811.84,3136.9,2024-08-27,2025-08-27,True,False
192,POL000192,20250922,1151,9,19,5,Renewal,162952.16,15619.84,2025-09-22,2026-09-22,True,False
193,POL000193,20250124,2750,1,18,1,Cancellation,54824.44,2377.73,2025-01-24,2026-01-24,False,True
194,POL000194,20251014,2664,8,3,2,Renewal,215544.35,11958.27,2025-10-14,2026-10-14,True,False
195,POL000195,20230216,2880,3,32,1,Renewal,58700.13,3538.96,2023-02-16,2024-02-16,True,False
196,POL000196,20250415,1174,7,24,1,New Business,613808.49,49470.5,2025-04-15,2026-04-15,False,False
197,POL000197,20250116,2231,8,11,1,New Business,270808.6,14387.99,2025-01-16,2026-01-16,False,False
198,POL000198,20240101,2215,6,10,4,New Business,97455.06,6218.51,2024-01-01,2024-12-31,False,False
199,POL000199,20260617,2377,2,26,1,New Business,30538.09,1542.16,2026-06-17,2027-06-17,False,False
200,POL000200,20230711,605,7,32,1,Renewal,887623.42,68840.52,2023-07-11,2024-07-10,True,False
201,POL000201,20240713,355,9,39,1,New Business,205643.32,21306.44,2024-07-13,2025-07-13,False,False
202,POL000202,20221026,2644,9,30,3,Renewal,300671.81,20778.2,2022-10-26,2023-10-26,True,False
203,POL000203,20250117,176,6,22,5,Renewal,474189.91,25888.62,2025-01-17,2026-01-17,True,False
204,POL000204,20231019,2453,5,22,5,Renewal,393369.45,21873.11,2023-10-19,2024-10-18,True,False
205,POL000205,20240818,2350,1,9,5,Cancellation,47369.59,1386.25,2024-08-18,2025-08-18,False,True
206,POL000206,20241109,1717,2,8,5,Cancellation,16639.89,412.09,2024-11-09,2025-11-09,False,True
207,POL000207,20250116,1044,4,36,5,Renewal,176384.25,17680.11,2025-01-16,2026-01-16,True,False
208,POL000208,20250829,2908,1,22,5,Renewal,66190.56,5559.5,2025-08-29,2026-08-29,True,False
209,POL000209,20240721,1530,8,36,5,Cancellation,37330.26,1332.63,2024-07-21,2025-07-21,False,True
210,POL000210,20240827,1439,1,27,1,Renewal,135240.93,6811.29,2024-08-27,2025-08-27,True,False
211,POL000211,20251008,2638,1,30,3,New Business,30092.38,1843.07,2025-10-08,2026-10-08,False,False
212,POL000212,20250923,2934,7,1,1,Renewal,574625.19,29270.77,2025-09-23,2026-09-23,True,False
213,POL000213,20251119,2029,8,10,4,Cancellation,81304.92,1260.32,2025-11-19,2026-11-19,False,True
214,POL000214,20231106,1241,7,14,2,Renewal,197448.16,21557.72,2023-11-06,2024-11-05,True,False
215,POL000215,20250912,97,8,2,3,New Business,135383.77,14321.92,2025-09-12,2026-09-12,False,False
216,POL000216,20260104,2788,1,5,4,New Business,84467.96,6288.94,2026-01-04,2027-01-04,False,False
217,POL000217,20240725,1465,1,26,1,New Business,26298.61,1733.51,2024-07-25,2025-07-25,False,False
218,POL000218,20240414,1536,2,14,2,New Business,37645.23,2439.57,2024-04-14,2025-04-14,False,False
219,POL000219,20240401,2602,9,40,4,Renewal,416802.52,25809.15,2024-04-01,2025-04-01,True,False
220,POL000220,20260209,2048,9,21,3,New Business,308425.09,27862.89,2026-02-09,2027-02-09,False,False
221,POL000221,20250413,1572,3,35,4,Renewal,42509.68,3251.86,2025-04-13,2026-04-13,True,False
222,POL000222,20260627,1438,4,32,1,Cancellation,78926.83,3653.52,2026-06-27,2027-06-27,False,True
223,POL000223,20231018,356,7,31,3,New Business,356367.25,39141.51,2023-10-18,2024-10-17,False,False
224,POL000224,20240709,2932,1,7,5,Renewal,101934.31,6000.15,2024-07-09,2025-07-09,True,False
225,POL000225,20230628,1923,1,3,2,New Business,26294.87,1797.14,2023-06-28,2024-06-27,False,False
226,POL000226,20250708,1849,6,14,2,Renewal,75604.6,8272.34,2025-07-08,2026-07-08,True,False
227,POL000227,20230326,2431,6,2,3,Cancellation,44819.68,1180.02,2023-03-26,2024-03-25,False,True
228,POL000228,20260310,2856,3,37,3,New Business,44541.23,2332.03,2026-03-10,2027-03-10,False,False
229,POL000229,20251230,200,5,17,3,Renewal,2899409.48,177024.27,2025-12-30,2026-12-30,True,False
230,POL000230,20250409,1851,3,19,5,Renewal,70910.85,8364.3,2025-04-09,2026-04-09,True,False
231,POL000231,20240617,1748,4,8,5,Renewal,439930.5,22419.38,2024-06-17,2025-06-17,True,False
232,POL000232,20250120,1975,1,32,1,New Business,26570.93,2100.86,2025-01-20,2026-01-20,False,False
233,POL000233,20240713,2679,7,12,2,Renewal,454192.21,53268.33,2024-07-13,2025-07-13,True,False
234,POL000234,20250625,1393,1,38,1,Renewal,36030.18,3353.27,2025-06-25,2026-06-25,True,False
235,POL000235,20250608,2871,3,8,5,New Business,51920.33,5368.96,2025-06-08,2026-06-08,False,False
236,POL000236,20240826,2479,7,37,3,New Business,650974.02,46652.27,2024-08-26,2025-08-26,False,False
237,POL000237,20250818,1762,8,2,3,Renewal,198744.88,10587.15,2025-08-18,2026-08-18,True,False
238,POL000238,20231220,2227,2,7,5,New Business,16898.49,2011.14,2023-12-20,2024-12-19,False,False
239,POL000239,20260419,2876,3,28,4,New Business,96533.39,10670.31,2026-04-19,2027-04-19,False,False
240,POL000240,20220502,2723,8,23,3,Renewal,186676.69,13253.24,2022-05-02,2023-05-02,True,False
241,POL000241,20231121,564,1,8,5,New Business,75389.33,8342.73,2023-11-21,2024-11-20,False,False
242,POL000242,20260427,805,1,29,3,Renewal,36184.91,2486.76,2026-04-27,2027-04-27,True,False
243,POL000243,20250119,1958,4,5,4,Cancellation,387796.63,9552.78,2025-01-19,2026-01-19,False,True
244,POL000244,20250625,163,1,15,3,New Business,93188.26,8030.62,2025-06-25,2026-06-25,False,False
245,POL000245,20251014,1601,7,1,1,New Business,344020.64,24360.01,2025-10-14,2026-10-14,False,False
246,POL000246,20221123,2149,1,18,1,Renewal,71121.83,8773.66,2022-11-23,2023-11-23,True,False
247,POL000247,20240229,562,8,21,3,Cancellation,231627.8,6327.04,2024-02-29,2025-02-28,False,True
248,POL000248,20230111,1945,1,31,3,Renewal,25294.37,2752.81,2023-01-11,2024-01-11,True,False
249,POL000249,20231025,2595,2,35,4,Renewal,18859.49,2130.77,2023-10-25,2024-10-24,True,False
250,POL000250,20260301,2089,6,10,4,Renewal,114437.27,12980.74,2026-03-01,2027-03-01,True,False
251,POL000251,20240706,298,3,37,3,New Business,50002.07,3221.1,2024-07-06,2025-07-06,False,False
252,POL000252,20250310,2563,2,24,1,Cancellation,12178.17,205.87,2025-03-10,2026-03-10,False,True
253,POL000253,20240524,176,7,21,3,Renewal,363855.19,43669.7,2024-05-24,2025-05-24,True,False
254,POL000254,20260105,1531,6,26,1,Renewal,259606.3,14393.41,2026-01-05,2027-01-05,True,False
255,POL000255,20240822,522,1,31,3,Renewal,38542.83,2204.26,2024-08-22,2025-08-22,True,False
256,POL000256,20221219,2647,8,11,1,New Business,153359.81,10758.24,2022-12-19,2023-12-19,False,False
257,POL000257,20240818,308,3,28,4,Renewal,106383.88,8178.47,2024-08-18,2025-08-18,True,False
258,POL000258,20250828,2886,4,10,4,Renewal,159332.18,18790.54,2025-08-28,2026-08-28,True,False
259,POL000259,20240501,1151,1,30,3,Renewal,126664.46,6384.25,2024-05-01,2025-05-01,True,False
260,POL000260,20221206,2193,2,39,1,New Business,19620.91,1677.33,2022-12-06,2023-12-06,False,False
261,POL000261,20241231,2095,9,32,1,New Business,387993.8,21025.02,2024-12-31,2025-12-31,False,False
262,POL000262,20241213,2848,6,36,5,Cancellation,507627.36,14318.52,2024-12-13,2025-12-13,False,True
263,POL000263,20250721,1923,4,22,5,New Business,171081.71,12329.23,2025-07-21,2026-07-21,False,False
264,POL000264,20251118,2118,2,40,4,Renewal,11584.73,1051.33,2025-11-18,2026-11-18,True,False
